Player,Pos.,Team,Total Value,Avg/Year,"Total 
Guaranteed","Avg. 
Guarantee/Year",% Guaranteed
Johnson Bademosi,CB,Saints,"$1,187,500","$1,187,500","$137,500","$137,500",11.6%
Geno Smith,QB,Seahawks,"$1,187,500","$1,187,500","$137,500","$137,500",11.6%
Blidi Wreh-Wilson,CB,Falcons,"$1,187,500","$1,187,500","$137,500","$137,500",11.6%
Chris Banjo,S,Cardinals,"$1,187,500","$1,187,500","$300,000","$300,000",25.3%
Jack Crawford,IDL,Titans,"$1,187,500","$1,187,500","$500,000","$500,000",42.1%
Ted Ginn,WR,Bears,"$1,187,500","$1,187,500","$887,500","$887,500",74.7%
Sherrick McManis,S,Bears,"$1,187,500","$1,187,500","$887,500","$887,500",74.7%
Mike Remmers,RG,Chiefs,"$1,187,500","$1,187,500","$887,500","$887,500",74.7%
LP Ladouceur,LS,Cowboys,"$1,187,500","$1,187,500","$887,500","$887,500",74.7%
Blaine Gabbert,QB,Buccaneers,"$1,187,500","$1,187,500","$887,500","$887,500",74.7%
Barkevious Mingo,EDGE,Bears,"$1,187,500","$1,187,500","$887,500","$887,500",74.7%
Anthony Sherman,RB,Chiefs,"$1,187,500","$1,187,500","$887,500","$887,500",74.7%
Jonah Jackson,RG,Lions,"$4,748,806","$1,187,202","$1,048,564","$262,141",22.1%
Duke Dawson,CB,Broncos,"$4,744,876","$1,186,219","$2,706,496","$676,624",57.0%
Nasir Adderley,S,Chargers,"$4,732,112","$1,183,028","$2,666,632","$666,658",56.4%
Ke'Shawn Vaughn,RB,Buccaneers,"$4,708,440","$1,177,110","$1,018,908","$254,727",21.6%
Michael Ojemudia,CB,Broncos,"$4,703,879","$1,175,970","$1,015,560","$253,890",21.6%
Jake McQuaide,LS,Rams,"$3,525,000","$1,175,000","$955,000","$318,333",27.1%
Raekwon McMillan,LB,Raiders,"$4,697,534","$1,174,384","$2,699,912","$674,978",57.5%
Matt Hennessy,LG,Falcons,"$4,686,377","$1,171,594","$1,009,580","$252,395",21.5%
Taylor Rapp,S,Rams,"$4,673,694","$1,168,424","$2,621,489","$655,372",56.1%
Jabari Zuniga,EDGE,Jets,"$4,666,376","$1,166,594","$997,368","$249,342",21.4%
Lynn Bowden,RB,Dolphins,"$4,646,220","$1,161,555","$985,028","$246,257",21.2%
Jerick McKinnon,RB,49ers,"$1,160,000","$1,160,000",$0,$0,0.0%
Isaiah Oliver,CB,Falcons,"$4,636,650","$1,159,163","$2,622,865","$655,716",56.6%
Andy Isabella,WR,Cardinals,"$4,629,870","$1,157,468","$2,324,926","$581,232",50.2%
Bryan Edwards,WR,Raiders,"$4,626,578","$1,156,645","$972,696","$243,174",21.0%
Juan Thornhill,S,Chiefs,"$4,615,266","$1,153,817","$2,294,427","$573,607",49.7%
Neville Gallimore,DT,Cowboys,"$4,606,022","$1,151,506","$963,956","$240,989",20.9%
Mike Glennon,QB,Jaguars,"$1,150,000","$1,150,000",$0,$0,0.0%
Dean Marlowe,S,Bills,"$1,150,000","$1,150,000",$0,$0,0.0%
Chris Manhertz,TE,Panthers,"$2,300,000","$1,150,000","$320,000","$160,000",13.9%
Clark Harris,LS,Bengals,"$2,295,000","$1,147,500","$180,000","$90,000",7.8%
D.K. Metcalf,WR,Seahawks,"$4,586,050","$1,146,513","$2,254,308","$563,577",49.2%
Lloyd Cushenberry,C,Broncos,"$4,576,840","$1,144,210","$946,176","$236,544",20.7%
Dalvin Tomlinson,IDL,Giants,"$4,572,102","$1,143,026","$2,602,987","$650,747",56.9%
Don Muhlbach,LS,Lions,"$1,140,000","$1,140,000","$45,000","$45,000",3.9%
Terrell Lewis,EDGE,Rams,"$4,555,570","$1,138,893","$933,524","$233,381",20.5%
Julian Blackmon,S,Colts,"$4,539,838","$1,134,960","$926,436","$231,609",20.4%
Rick Lovato,LS,Eagles,"$4,525,000","$1,131,250",$0,$0,0.0%
Zack Moss,RB,Bills,"$4,522,081","$1,130,520","$914,420","$228,605",20.2%
Anfernee Jennings,EDGE,Patriots,"$4,503,929","$1,125,982","$903,180","$225,795",20.1%
James Washington,WR,Steelers,"$4,501,346","$1,125,337","$2,383,704","$595,926",53.0%
Chris Hogan,WR,Jets,"$1,125,000","$1,125,000","$25,000","$25,000",2.2%
Jordan Elliott,DT,Browns,"$4,493,751","$1,123,438","$897,036","$224,259",20.0%
